ticker,date,type,quantity,cost_price,corretora
GRND3,06/12/2018,compra,100,7.97,Rico Investimentos
GRND3,10/12/2018,compra,100,7.7,Rico Investimentos
GRND3,02/03/2020,compra,40,9.9,Banco Inter
GRND3,31/03/2020,venda,40,7.34,Banco Inter
GRND3,02/04/2020,compra,40,7.09,Banco Inter
GRND3,21/05/2020,compra,15,6.69,Banco Inter
EMAE4,25/03/2019,compra,37,23.15,Rico investimentos
EMAE4,10/06/2019,compra,20,21.5,Rico investimentos
EMAE4,03/01/2020,compra,20,36.9,Rico investimentos
TAEE11,25/03/2019,compra,30,24.62,Rico investimentos
TAEE11,10/06/2019,compra,30,27.3,Rico investimentos
TAEE11,13/01/2020,compra,17,30.55,Rico investimentos
TAEE11,20/01/2023,compra,30,35.33,Rico investimentos
ABEV3,17/06/2019,compra,25,17.8,Rico investimentos
ABEV3,19/07/2019,compra,35,18.45,Rico investimentos
VBBR3,16/01/2020,compra,100,28.65,Rico investimentos
VBBR3,16/01/2020,compra,100,28.35,Rico investimentos
VBBR3,21/12/2023,compra,15,22.11,Rico investimentos
VBBR3,02/12/2024,compra,29,20.34,Rico investimentos
VIVA3,22/10/2019,compra,25,23.98,Rico Investimentos
VIVA3,19/09/2023,compra,20,27.03,Rico Investimentos
VIVA3,21/12/2023,compra,10,33.68,Rico Investimentos
UNIP6,20/01/2020,compra,45,40.5,Banco Inter
UNIP6,05/02/2020,compra,10,33.5,Banco Inter
UNIP6,18/11/2021,compra,6,86.0,Banco Inter
UNIP6,20/01/2023,compra,6,84.02,Banco Inter
UNIP6,29/03/2023,compra,7,77.06,Banco Inter
UNIP6,23/06/2023,compra,10,78.5,Banco Inter
UNIP6,28/07/2023,compra,7,77.05,Banco Inter
UNIP6,25/10/2023,compra,3,71.69,Banco Inter
UNIP6,22/01/2024,compra,5,71.6,Banco Inter
UNIP6,20/05/2024,compra,10,51.12,Banco Inter
UNIP6,22/01/2025,compra,3,46.56,Banco Inter
UNIP6,20/04/2022,compra,6,0.0,Banco Inter
UNIP6,18/04/2024,compra,10,0.0,Banco Inter
WEGE3,13/02/2020,compra,10,45.5,Banco Inter
WEGE3,02/03/2020,compra,10,44.5,Banco Inter
WEGE3,23/03/2020,compra,10,35.78,Banco Inter
WEGE3,14/05/2020,compra,8,37.05,Banco Inter
WEGE3,17/09/2020,compra,5,62.3,Banco Inter
WEGE3,27/04/2021,compra,43,0.0,Banco Inter
WEGE3,16/11/2021,compra,20,35.5,Banco Inter
WEGE3,01/12/2021,compra,20,32.6,Banco Inter
WEGE3,23/08/2022,compra,7,28.71,Banco Inter
WEGE3,24/04/2023,compra,12,40.29,Banco Inter
WEGE3,23/06/2023,compra,20,60.66,Banco Inter
WEGE3,31/07/2023,compra,15,39.93,Banco Inter
WEGE3,25/10/2023,compra,10,31.83,Banco Inter
GMAT3,28/06/2021,compra,50,7.84,Banco Inter
GMAT3,26/07/2021,compra,15,7.64,Banco Inter
GMAT3,14/09/2021,compra,50,6.87,Banco Inter
GMAT3,16/11/2021,compra,90,6.94,Banco Inter
GMAT3,01/12/2021,compra,90,5.81,Banco Inter
GMAT3,16/03/2022,compra,70,4.52,Banco Inter
GMAT3,23/08/2023,compra,30,6.05,Banco Inter
GMAT3,14/01/2024,compra,90,5.96,Banco Inter
B3SA3,17/08/2021,compra,60,13.71,Banco Inter
B3SA3,14/09/2021,compra,20,14.32,Banco Inter
B3SA3,16/11/2021,compra,50,12.91,Banco Inter
B3SA3,01/12/2021,compra,40,11.26,Banco Inter
B3SA3,23/08/2022,compra,16,12.21,Banco Inter
B3SA3,29/03/2023,compra,32,10.32,Banco Inter
B3SA3,23/06/2023,compra,30,14.23,Banco Inter
BBDC4,20/01/2020,compra,45,34.95,Banco Inter
BBDC4,05/02/2020,compra,10,34.05,Banco Inter
BBDC4,02/03/2020,compra,15,30.5,Banco Inter
BBDC4,23/03/2020,compra,19,17.99,Banco Inter
BBDC4,13/04/2020,compra,8,0.0,Banco Inter
BBDC4,14/05/2020,compra,20,16.75,Banco Inter
BBDC4,17/09/2020,compra,20,20.33,Banco Inter
BBDC4,22/04/2021,compra,13,0.0,Banco Inter
BBDC4,22/02/2022,compra,15,0.0,Banco Inter
BBDC4,23/08/2022,compra,10,19.4,Banco Inter
BBDC4,18/11/2022,compra,30,15.62,Banco Inter
BBDC4,20/01/2023,compra,30,14.78,Banco Inter
BBDC4,29/03/2023,compra,27,12.79,Banco Inter
BBDC4,23/06/2023,compra,45,16.63,Banco Inter
BBDC4,19/09/2023,compra,30,14.77,Banco Inter
BBDC4,22/01/2024,compra,20,15.65,Banco Inter
BBDC4,02/12/2024,compra,16,12.43,Banco Inter
BBDC4,16/01/2025,compra,100,11.7,Banco Inter
ITUB3,14/12/2018,compra,10,30.36,Rico Investimentos
ITUB3,25/05/2019,compra,10,29.88,Rico Investimentos
ITUB3,17/06/2019,compra,25,29.5,Rico Investimentos
ITUB3,11/10/2019,compra,10,29.2,Rico Investimentos
ABCB4,15/01/2020,compra,100,20.19,Rico Investimentos
ABCB4,23/09/2020,subscrição,1,11.37,Rico Investimentos
ABCB4,12/01/2021,subscrição,2,12.02,Rico Investimentos